-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
   49.2  20688  -65.9  -92.9      1   0.00    182     12  490.0  490.0  490.0
   48.9  20726  -65.6  -92.8      1   0.00    190     14  491.7  491.7  491.7
   45.1  21222  -61.3  -91.3      1   0.00    166      8  513.5  513.5  513.5
   44.3  21336  -61.3  -91.4      1   0.00    160      7  516.2  516.2  516.2
   40.1  21946  -61.4  -92.1      1   0.00     85      2  530.6  530.6  530.6
   37.9  22300  -61.5  -92.5      1   0.00     82      6  539.2  539.2  539.2
   34.9  22815  -58.5  -89.5      1   0.00     78     11  559.8  559.9  559.8
   33.2  23129  -59.3  -90.3      1   0.00     75     15  565.8  565.8  565.8
   33.0  23165  -59.0  -90.1      1   0.00     75     15  567.5  567.6  567.5
   31.2  23521  -55.9  -87.9      1   0.01     66     10  585.1  585.1  585.1
   30.0  23770  -56.3  -88.3      1   0.01     60      7  590.6  590.6  590.6
   27.2  24384  -56.9  -88.9      1   0.01     55      5  605.5  605.5  605.5
   24.6  25030  -57.5  -89.5      1   0.01     83      8  621.6  621.6  621.6
   23.0  25458  -54.9  -86.9      1   0.01    102     10  641.3  641.4  641.3
   20.0  26350  -56.7  -88.7      1   0.01    140     14  661.9  662.0  661.9
   19.5  26518  -56.9  -88.9      1   0.01    170     14  666.3  666.4  666.3
   17.9  27052  -57.5  -89.5      1   0.01    179     11  680.7  680.8  680.7
   17.7  27127  -56.8  -88.8      1   0.01    180     11  685.1  685.1  685.1
   17.2  27305  -55.3  -87.3      1   0.01    157     11  695.5  695.6  695.5
   16.9  27432  -55.5  -87.5      1   0.01    140     11  699.0  699.1  699.0
   15.1  28133  -56.3  -88.3      1   0.01    115     11  718.5  718.7  718.5
   14.2  28526  -53.3  -86.3      1   0.02    100     11  741.4  741.6  741.4
   13.6  28803  -53.7  -86.7      1   0.02     90     11  749.2  749.4  749.2
   13.3  28956  -53.1  -86.2      1   0.02     85     11  756.5  756.7  756.5
   12.1  29566  -50.5  -84.2      1   0.03    115      2  786.1  786.4  786.1
   11.4  29949  -48.9  -82.9      1   0.04    157      7  805.2  805.6  805.2
   10.5  30480  -48.6  -82.7      1   0.04    215     14  824.9  825.4  824.9
   10.0  30810  -48.5  -82.5      1   0.04    235      5  837.4  838.0  837.4
   10.0  30785  -48.5  -82.5      1   0.04    235      3  836.5  837.0  836.5
    9.6  31079  -48.5  -82.5      1   0.05    232      8  847.2  847.8  847.2
    9.1  31433  -46.3  -81.3      1   0.06    228     11  868.7  869.5  868.7
    8.1  32208  -45.7  -80.7      1   0.07    220     18  900.5  901.5  900.5
    7.4  32819  -39.7  -76.7      1   0.15    214     24  948.4  950.5  948.5
    7.0  33200  -38.5  -75.5      1   0.19    210     27  968.5  971.2  968.6
    6.7  33528  -36.5  -74.5      1   0.23    220     32  990.1  993.5  990.3
    6.4  33821  -34.7  -73.7      1   0.28               1009.7 1013.8 1009.9
